,War,Start Date,End Date,Cause,Participant,Normalized Participant
1069,Russo-Japanese War,1904-02-08 00:00:00+00:00,1905-09-05 00:00:00+00:00,,Russian Empire,Russia
1078,Rif War,1911-06-08 00:00:00+00:00,1927-01-01 00:00:00+00:00,,France,Europe
1116,Russo-Finnish Wars,1917-01-01 00:00:00+00:00,1944-01-01 00:00:00+00:00,,Soviet Union,Russia
1189,Urtatagai conflict,1925-11-27 00:00:00+00:00,1926-01-01 00:00:00+00:00,,Soviet Union,Russia
1199,Yaqui Wars,,1929-01-01 00:00:00+00:00,,United States,USA
1206,Soviet–Japanese border conflicts,1932-01-01 00:00:00+00:00,1939-01-01 00:00:00+00:00,,Soviet Union,Russia
1230,Winter War,1939-11-30 00:00:00+00:00,1940-03-13 00:00:00+00:00,,Soviet Union,Russia
1245,Anglo-Iraqi War,1941-05-02 00:00:00+00:00,1941-05-31 00:00:00+00:00,,United Kingdom,Europe
1248,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Lebensraum,Soviet Union,Russia
1250,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Lebensraum,Soviet Union,Russia
1251,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Operation Barbarossa,Soviet Union,Russia
1253,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,racism,Soviet Union,Russia
1262,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Operation Barbarossa,Soviet Union,Russia
1271,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,racism,Soviet Union,Russia
1283,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Nazi Germany,Soviet Union,Russia
1284,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Nazi Germany,Soviet Union,Russia
1335,Continuation War,1941-06-25 00:00:00+00:00,1944-09-19 00:00:00+00:00,,Soviet Union,Russia
1348,Soviet-Bulgarian War,1944-09-05 00:00:00+00:00,1944-10-28 00:00:00+00:00,,Soviet Union,Russia
1357,Lapland War,1944-09-15 00:00:00+00:00,1945-04-25 00:00:00+00:00,,Soviet Union,Russia
1361,Soviet–Japanese War,1945-08-09 00:00:00+00:00,1945-09-02 00:00:00+00:00,,Soviet Union,Russia
1365,Indonesian National Revolution,1945-08-17 00:00:00+00:00,1949-12-27 00:00:00+00:00,,United Kingdom,Europe
1367,Operation Masterdom,1945-09-13 00:00:00+00:00,1946-03-30 00:00:00+00:00,,United Kingdom,Europe
1368,Operation Masterdom,1945-09-13 00:00:00+00:00,1946-03-30 00:00:00+00:00,,France,Europe
1397,Indochina Wars,1946-01-01 00:00:00+00:00,1989-01-01 00:00:00+00:00,,People's Republic of China,China
1398,Indochina Wars,1946-01-01 00:00:00+00:00,1989-01-01 00:00:00+00:00,,United States,USA
1407,Indo-Pakistani War of 1947–1948,1947-10-22 00:00:00+00:00,1949-01-01 00:00:00+00:00,,Dominion of India,India
1408,Indo-Pakistani War of 1947–1948,1947-10-22 00:00:00+00:00,1949-01-01 00:00:00+00:00,,Dominion of Pakistan,Pakistan
1409,Kashmir conflict,1947-10-22 00:00:00+00:00,,,Pakistan,Pakistan
1410,Kashmir conflict,1947-10-22 00:00:00+00:00,,,India,India
1436,Korean War,1950-06-25 00:00:00+00:00,1953-07-27 00:00:00+00:00,Kim Il-sung,People's Republic of China,China
1437,Korean War,1950-06-25 00:00:00+00:00,1953-07-27 00:00:00+00:00,Kim Il-sung,United Kingdom,Europe
1439,Korean War,1950-06-25 00:00:00+00:00,1953-07-27 00:00:00+00:00,Kim Il-sung,United States,USA
1440,Korean War,1950-06-25 00:00:00+00:00,1953-07-27 00:00:00+00:00,Kim Il-sung,France,Europe
1448,Korean War,1950-06-25 00:00:00+00:00,1953-07-27 00:00:00+00:00,Kim Il-sung,Soviet Union,Russia
1453,Suez Crisis,1956-10-29 00:00:00+00:00,1956-11-07 00:00:00+00:00,,United Kingdom,Europe
1455,Suez Crisis,1956-10-29 00:00:00+00:00,1956-11-07 00:00:00+00:00,,France,Europe
1483,Sand War,1963-09-25 00:00:00+00:00,1964-02-20 00:00:00+00:00,,France,Europe
1493,Indo-Pakistani War of 1965,1965-08-01 00:00:00+00:00,1965-09-23 00:00:00+00:00,,Pakistan,Pakistan
1494,Indo-Pakistani War of 1965,1965-08-01 00:00:00+00:00,1965-09-23 00:00:00+00:00,,India,India
1507,War of Attrition,1967-07-01 00:00:00+00:00,1970-08-07 00:00:00+00:00,,Soviet Union,Russia
1517,War of Attrition,1969-03-01 00:00:00+00:00,1970-08-07 00:00:00+00:00,,Soviet Union,Russia
1520,Bangladesh Liberation War,1971-03-26 00:00:00+00:00,1971-12-16 00:00:00+00:00,Bangladesh,Pakistan,Pakistan
1521,Bangladesh Liberation War,1971-03-26 00:00:00+00:00,1971-12-16 00:00:00+00:00,Bangladesh,India,India
1522,Bangladesh Liberation War,1971-03-26 00:00:00+00:00,1971-12-16 00:00:00+00:00,Bangladesh,United States,USA
1523,Bangladesh Liberation War,1971-03-26 00:00:00+00:00,1971-12-16 00:00:00+00:00,Bangladesh,Russia,Russia
1525,Indo-Pakistani War of 1971,1971-12-03 00:00:00+00:00,1971-12-16 00:00:00+00:00,,India,India
1526,Indo-Pakistani War of 1971,1971-12-03 00:00:00+00:00,1971-12-16 00:00:00+00:00,,Pakistan,Pakistan
1537,Third Indochina War,1975-05-01 00:00:00+00:00,1991-10-23 00:00:00+00:00,,China,China
1540,Third Indochina War,1975-05-01 00:00:00+00:00,1991-10-23 00:00:00+00:00,,Soviet Union,Russia
1542,Third Indochina War,1975-05-01 00:00:00+00:00,1991-10-23 00:00:00+00:00,,India,India
1550,Third Indochina War,1975-05-01 00:00:00+00:00,1991-10-23 00:00:00+00:00,,People's Republic of China,China
1551,Third Indochina War,1975-05-01 00:00:00+00:00,1991-10-23 00:00:00+00:00,,United Kingdom,Europe
1552,Third Indochina War,1975-05-01 00:00:00+00:00,1991-10-23 00:00:00+00:00,,United States,USA
1579,Ogden War,1977-07-23 00:00:00+00:00,1978-03-23 00:00:00+00:00,,Soviet Union,Russia
1588,Chadian–Libyan War,1978-01-01 00:00:00+00:00,1987-01-01 00:00:00+00:00,,France,Europe
1600,Sino-Vietnamese War,1979-02-17 00:00:00+00:00,1979-03-16 00:00:00+00:00,,People's Republic of China,China
1603,Soviet-Afghan War,1979-12-25 00:00:00+00:00,1989-02-15 00:00:00+00:00,,Soviet Union,Russia
1619,Falklands War,1982-04-02 00:00:00+00:00,1982-06-14 00:00:00+00:00,,United Kingdom,Europe
1648,Toyota War,1986-12-16 00:00:00+00:00,1987-09-11 00:00:00+00:00,,France,Europe
1663,First Nagorno-Karabakh War,1988-02-20 00:00:00+00:00,1994-05-16 00:00:00+00:00,,Soviet Union,Russia
1673,Gulf War,1990-08-02 00:00:00+00:00,1991-02-28 00:00:00+00:00,,United Kingdom,Europe
1682,Gulf War,1990-08-02 00:00:00+00:00,1991-02-28 00:00:00+00:00,,France,Europe
1683,Gulf War,1990-08-02 00:00:00+00:00,1991-02-28 00:00:00+00:00,,United States,USA
1684,Transnistria War,1990-11-02 00:00:00+00:00,1992-07-21 00:00:00+00:00,,Russia,Russia
1703,War in Abkhazia,1992-08-14 00:00:00+00:00,1993-09-27 00:00:00+00:00,,Russia,Russia
1712,First Chechen War,1994-12-11 00:00:00+00:00,1996-08-31 00:00:00+00:00,,Russia,Russia
1740,Kosovo War,1998-02-27 00:00:00+00:00,1999-06-11 00:00:00+00:00,,Germany,Europe
1745,Kosovo War,1998-02-27 00:00:00+00:00,1999-06-11 00:00:00+00:00,,United States,USA
1748,Kosovo War,1998-02-27 00:00:00+00:00,1999-06-11 00:00:00+00:00,,France,Europe
1752,Kosovo War,1998-02-27 00:00:00+00:00,1999-06-11 00:00:00+00:00,,United Kingdom,Europe
1780,Kargil War,1999-05-03 00:00:00+00:00,1999-07-26 00:00:00+00:00,,India,India
1781,Kargil War,1999-05-03 00:00:00+00:00,1999-07-26 00:00:00+00:00,,Pakistan,Pakistan
1782,War of Dagestan,1999-08-02 00:00:00+00:00,1999-09-14 00:00:00+00:00,,Russia,Russia
1790,Second Chechen War,1999-08-26 00:00:00+00:00,2009-04-16 00:00:00+00:00,,Russia,Russia
1791,War on Terror,2001-09-11 00:00:00+00:00,,,France,Europe
1792,War on Terror,2001-09-11 00:00:00+00:00,,,United Kingdom,Europe
1793,War on Terror,2001-09-11 00:00:00+00:00,,,People's Republic of China,China
1794,War on Terror,2001-09-11 00:00:00+00:00,,,Russia,Russia
1796,War on Terror,2001-09-11 00:00:00+00:00,,,United States,USA
1800,War in Afghanistan (2001–2021),2001-10-07 00:00:00+00:00,2021-08-30 00:00:00+00:00,September 11 attacks,Germany,Europe
1801,War in Afghanistan (2001–2021),2001-10-07 00:00:00+00:00,2021-08-30 00:00:00+00:00,September 11 attacks,United States,USA
1802,War in Afghanistan (2001–2021),2001-10-07 00:00:00+00:00,2021-08-30 00:00:00+00:00,September 11 attacks,United Kingdom,Europe
1833,Insurgency in the Maghreb (2002–),2002-04-11 00:00:00+00:00,,,France,Europe
1848,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,human rights,United States,USA
1849,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,September 11 attacks,United States,USA
1850,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,September 11 attacks,United Kingdom,Europe
1852,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,human rights,United Kingdom,Europe
1869,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,neoconservatism,United States,USA
1870,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,rationale for the Iraq War,United States,USA
1871,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,lodgement,United States,USA
1872,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,Iraq disarmament crisis,United States,USA
1878,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,fossil fuel,United Kingdom,Europe
1879,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,neoconservatism,United Kingdom,Europe
1880,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,rationale for the Iraq War,United Kingdom,Europe
1881,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,lodgement,United Kingdom,Europe
1882,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,Iraq disarmament crisis,United Kingdom,Europe
1890,Iraq War,2003-03-20 00:00:00+00:00,2011-12-15 00:00:00+00:00,fossil fuel,United States,USA
1901,insurgency in Khyber Pakhtunkhwa,2004-03-16 00:00:00+00:00,,,United States,USA
1902,insurgency in Khyber Pakhtunkhwa,2004-03-16 00:00:00+00:00,,,United Kingdom,Europe
1903,insurgency in Khyber Pakhtunkhwa,2004-03-16 00:00:00+00:00,,,Pakistan,Pakistan
1908,insurgency in Khyber Pakhtunkhwa,2004-03-16 00:00:00+00:00,,,Pakistan Armed Forces,Pakistan
1942,Iraq War troop surge of 2007,2007-01-10 00:00:00+00:00,2008-07-01 00:00:00+00:00,,United States,USA
1945,Russo-Georgian War,2008-08-07 00:00:00+00:00,2008-08-12 00:00:00+00:00,,Russia,Russia
1975,2014 Russian invasion of Ukraine,2014-02-20 00:00:00+00:00,2015-02-20 00:00:00+00:00,Q28666633,Russia,Russia
2008,War in Afghanistan (2015–2021),2015-01-01 00:00:00+00:00,2021-08-30 00:00:00+00:00,,Germany,Europe
2009,War in Afghanistan (2015–2021),2015-01-01 00:00:00+00:00,2021-08-30 00:00:00+00:00,,United Kingdom,Europe
2011,War in Afghanistan (2015–2021),2015-01-01 00:00:00+00:00,2021-08-30 00:00:00+00:00,,United States,USA
2020,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,2024 Russian presidential election,Russia,Russia
2070,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,presidency of Viktor Yanukovych,Russia,Russia
2071,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Putin's Plan,Russia,Russia
2072,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,anti-Ukrainian sentiment,Russia,Russia
2073,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,decommunization in Ukraine,Russia,Russia
2076,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,eastward expansion of NATO,Russia,Russia
2077,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Ukraine bioweapons conspiracy theory,Russia,Russia
2078,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russian irredentism,Russia,Russia
3195,Shaba II,,,,United States,USA
3197,Shaba II,,,,France,Europe
3271,Franco-Trarzan War of 1825,,,,France,Europe
3385,Arikara War,,,,United States,USA
3540,Spanish–Russian War,,,,Russian Empire,Russia
3560,Paiute War,,,,United States,USA
3789,Cambodian–Dutch War,,,,Dutch East India Company,Europe
3954,Russian colonisation of Central Asia,,,,Russian Empire,Russia
3998,Kake War,,,,United States,USA
4225,Eel River Battlefield War of 1812,,,,United States,USA
4349,Kandyan–Dutch War of 1670–1675,,,,Dutch East India Company,Europe
4404,battle of Vinh,,,,France,Europe
4451,Dano-Dutch War,,,,Dutch West India Company,Europe
4516,Willem Leyel's War on Golconda,,,,Danish India,Europe
4607,Jayakarta War,,,,East India Company,Europe
4608,Jayakarta War,,,,Dutch East India Company,Europe
