,War,Start Date,End Date,Participant,Location,Casualties,Cause,Effect,Normalized Participant
1349,Red Cloud's War,1866-01-01 00:00:00+00:00,1868-01-01 00:00:00+00:00,United States,Bighorn River,,,,USA
1389,Mokrani Revolt,1871-01-01 00:00:00+00:00,1872-01-01 00:00:00+00:00,France,French Algeria,,,,Europe
1393,Modoc War,1872-07-06 00:00:00+00:00,1873-06-04 00:00:00+00:00,United States,California,,,,USA
1402,Red River War,1874-01-01 00:00:00+00:00,1875-01-01 00:00:00+00:00,United States,Great Plains,,,,USA
1408,Great Sioux War of 1876,1876-01-01 00:00:00+00:00,1877-01-01 00:00:00+00:00,United States,Montana Territory,,,,USA
1415,First Serbian–Ottoman War,1876-06-30 00:00:00+00:00,1878-03-03 00:00:00+00:00,Russian Empire,Kosovo and Metohija,,,,Russia
1421,Nez Perce War,1877-06-01 00:00:00+00:00,1877-10-01 00:00:00+00:00,United States,Oregon,,,,USA
1430,Bannock War,1878-06-01 00:00:00+00:00,1878-09-01 00:00:00+00:00,United States,Idaho,,,,USA
1480,Ghost Dance War,1890-12-29 00:00:00+00:00,1891-01-15 00:00:00+00:00,United States,South Dakota,,,,USA
1483,Bafut Wars,1891-01-01 00:00:00+00:00,1907-01-01 00:00:00+00:00,Germany,,,,,Europe
1484,Miranzai Valley Expedition,1891-01-01 00:00:00+00:00,1891-05-01 00:00:00+00:00,British Indian Army,Miranzai Valley,,,,India
1516,Second Samoan Civil War,1898-01-01 00:00:00+00:00,1899-01-01 00:00:00+00:00,United States,Samoan Islands,,,,USA
1517,Banana Wars,1898-01-01 00:00:00+00:00,1934-01-01 00:00:00+00:00,United States,Central America,,,,USA
1518,Spanish–American War,1898-04-25 00:00:00+00:00,1898-08-11 00:00:00+00:00,United States,Caribbean Sea,,,Treaty of Paris (1898),USA
1524,Philippine–American War,1899-02-04 00:00:00+00:00,1902-07-02 00:00:00+00:00,United States,United States Military Government of the Philippine Islands,,,,USA
1552,Russo-Japanese War,1904-02-08 00:00:00+00:00,1905-09-05 00:00:00+00:00,Russian Empire,Manchuria,,,,Russia
1562,Rif War,1911-06-08 00:00:00+00:00,1927-01-01 00:00:00+00:00,France,Rif,,,,Europe
1603,Russo-Finnish Wars,1917-01-01 00:00:00+00:00,1944-01-01 00:00:00+00:00,Soviet Union,,,,,Russia
1680,Urtatagai conflict,1925-11-27 00:00:00+00:00,1926-01-01 00:00:00+00:00,Soviet Union,Urta Tagail,12,,,Russia
1688,Yaqui Wars,,1929-01-01 00:00:00+00:00,United States,Sonora,,,,USA
1697,Soviet–Japanese border conflicts,1932-01-01 00:00:00+00:00,1939-01-01 00:00:00+00:00,Soviet Union,Northeast Asia,,,,Russia
1721,Winter War,1939-11-30 00:00:00+00:00,1940-03-13 00:00:00+00:00,Soviet Union,Finland,,,,Russia
1734,Anglo-Iraqi War,1941-05-02 00:00:00+00:00,1941-05-31 00:00:00+00:00,United Kingdom,Kingdom of Iraq,,,,Europe
1747,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Baltic region,Russia
1754,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Baltic region,Russia
1764,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Baltic region,Russia
1765,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Baltic region,Russia
1769,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Soviet Union,Russia
1785,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Cold War,Russia
1786,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Operation Barbarossa,Cold War,Russia
1801,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,Baltic region,Russia
1812,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,racism,Baltic region,Russia
1813,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,racism,Baltic region,Russia
1819,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Operation Barbarossa,Baltic region,Russia
1836,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,Baltic region,Russia
1839,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Operation Barbarossa,Baltic region,Russia
1846,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Nazi Germany,Socialist Republic of Romania,Russia
1847,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Nazi Germany,Socialist Republic of Romania,Russia
1868,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Nazi Germany,Socialist Republic of Romania,Russia
1869,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Nazi Germany,Socialist Republic of Romania,Russia
1894,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Cold War,Russia
1895,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Cold War,Russia
1897,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Cold War,Russia
1900,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Nazi Germany,Socialist Republic of Romania,Russia
1901,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Nazi Germany,Socialist Republic of Romania,Russia
1918,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,racism,Baltic region,Russia
1919,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,racism,Baltic region,Russia
1940,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Baltic region,Russia
1941,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Baltic region,Russia
1954,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,racism,Socialist Republic of Romania,Russia
1966,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,Nazi Germany,Socialist Republic of Romania,Russia
1967,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Nazi Germany,Socialist Republic of Romania,Russia
1972,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,racism,Socialist Republic of Romania,Russia
1988,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Nazi Germany,Socialist Republic of Romania,Russia
1989,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Nazi Germany,Socialist Republic of Romania,Russia
2000,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Soviet Union,Russia
2001,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Soviet Union,Russia
2002,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Socialist Republic of Romania,Russia
2024,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,racism,Hungarian People's Republic,Russia
2025,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,racism,Hungarian People's Republic,Russia
2047,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,racism,German Democratic Republic,Russia
2048,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,racism,German Democratic Republic,Russia
2063,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Socialist Republic of Romania,Russia
2064,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Socialist Republic of Romania,Russia
2098,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Baltic region,Russia
2099,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Baltic region,Russia
2122,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,racism,Socialist Republic of Romania,Russia
2123,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,racism,Socialist Republic of Romania,Russia
2146,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Hungarian People's Republic,Russia
2147,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Hungarian People's Republic,Russia
2151,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Hungarian People's Republic,Russia
2153,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,Hungarian People's Republic,Russia
2160,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Baltic region,Russia
2161,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Baltic region,Russia
2182,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,racism,Soviet Union,Russia
2183,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,racism,Soviet Union,Russia
2212,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Soviet Union,Russia
2213,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Soviet Union,Russia
2224,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Socialist Republic of Romania,Russia
2234,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,Cold War,Russia
2235,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Central Europe,,Operation Barbarossa,Cold War,Russia
2253,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,Lebensraum,Soviet Union,Russia
2264,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Cold War,Russia
2265,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Soviet Union,,Lebensraum,Cold War,Russia
2285,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,racism,Balkans,Russia
2286,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,racism,Balkans,Russia
2293,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,German Democratic Republic,Russia
2294,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,German Democratic Republic,Russia
2309,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,German Democratic Republic,Russia
2310,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Lebensraum,German Democratic Republic,Russia
2319,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Cold War,Russia
2331,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Soviet Union,Russia
2332,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Lebensraum,Soviet Union,Russia
2335,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,Soviet Union,Russia
2336,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,Lebensraum,Soviet Union,Russia
2347,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Balkans,Russia
2349,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Europe,,Operation Barbarossa,Balkans,Russia
2592,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Balkans,,racism,Polish People's Republic,Russia
2593,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Balkans,,racism,Polish People's Republic,Russia
2616,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Polish People's Republic,Russia
2617,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Northern Europe,,racism,Polish People's Republic,Russia
2632,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Polish People's Republic,Russia
2633,Eastern Front,1941-06-22 00:00:00+00:00,1945-05-07 00:00:00+00:00,Soviet Union,Eastern Europe,,racism,Polish People's Republic,Russia
2721,Eastern Front,1941-06-22 00:00:00+00:00,1955-01-21 00:00:00+00:00,Soviet Union,Eastern Europe,,Operation Barbarossa,Polish People's Republic,Russia
