War,Start Date,End Date,Participant,Location,Casualties,Cause,Effect
Johor-Jambi war,,1681-01-01 00:00:00+00:00,Johor Sultanate,Jambi,,,
Johor-Jambi war,,1681-01-01 00:00:00+00:00,Jambi Sultanate,Jambi,,,
French–Tripolitania War,1681-01-01 00:00:00+00:00,1685-01-01 00:00:00+00:00,Kingdom of France,Tripoli,,,
French-Algerian War 1681–88,1681-01-01 00:00:00+00:00,1688-01-01 00:00:00+00:00,Regency of Algiers,,,,
Johor-Jambi war,,1681-01-01 00:00:00+00:00,Palembang Sultanate,Johor,,,
Trunajaya rebellion,,1681-01-01 00:00:00+00:00,Mataram Sultanate,Java,,,
Trunajaya rebellion,,1681-01-01 00:00:00+00:00,Dutch East India Company,Java,,,
Johor-Jambi war,,1681-01-01 00:00:00+00:00,Dutch East India Company,Johor,,,
Johor-Jambi war,,1681-01-01 00:00:00+00:00,Portuguese Empire,Johor,,,
Johor-Jambi war,,1681-01-01 00:00:00+00:00,Johor Sultanate,Johor,,,
Johor-Jambi war,,1681-01-01 00:00:00+00:00,Palembang Sultanate,Jambi,,,
Johor-Jambi war,,1681-01-01 00:00:00+00:00,Jambi Sultanate,Johor,,,
Trunajaya rebellion,,1681-01-01 00:00:00+00:00,Trunajaya,Java,,,
Anglo-Algerian War,,1682-01-01 00:00:00+00:00,Kingdom of England,Mediterranean Sea,,,
Anglo-Algerian War,,1682-01-01 00:00:00+00:00,Regency of Algiers,Mediterranean Sea,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Holy Roman Empire,Austria,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Ottoman Empire,Austria,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Polish–Lithuanian Commonwealth,Austria,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Serbs,Austria,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Bulgarians,Austria,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Habsburg monarchy,Austria,,,
transition from Ming to Qing,,1683-01-01 00:00:00+00:00,nan,China,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Republic of Venice,Austria,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Duchy of Mantua,Austria,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Albanians,Austria,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Tsardom of Russia,Austria,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Greeks,Austria,,,
Great Turkish War,1683-01-01 00:00:00+00:00,1699-01-01 00:00:00+00:00,Prince-Bishopric of Montenegro,Austria,,,
War of the Reunions,1683-10-26 00:00:00+00:00,1684-08-15 00:00:00+00:00,nan,Spanish Netherlands,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Republic of Venice,Albania,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Knights Hospitaller,Albania,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Ottoman Empire,Peloponnese,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Order of Saint Stephen,Venetian Dalmatia,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Order of Saint Stephen,Albania,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Knights Hospitaller,Venetian Dalmatia,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Papal States,Venetian Dalmatia,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Duchy of Savoy,Aegean Sea,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Montenegrins,Peloponnese,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Montenegrins,Venetian Dalmatia,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Ottoman Empire,Venetian Dalmatia,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Papal States,Albania,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Order of Saint Stephen,Aegean Sea,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Knights Hospitaller,Peloponnese,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Republic of Venice,Peloponnese,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Republic of Venice,Venetian Dalmatia,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Montenegrins,Albania,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Ottoman Empire,Albania,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Duchy of Savoy,Venetian Dalmatia,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Duchy of Savoy,Albania,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Republic of Venice,Aegean Sea,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Order of Saint Stephen,Peloponnese,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Montenegrins,Aegean Sea,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Ottoman Empire,Aegean Sea,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Republic of Venice,Central Greece,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Ottoman Empire,Central Greece,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Montenegrins,Central Greece,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Duchy of Savoy,Peloponnese,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Papal States,Peloponnese,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Knights Hospitaller,Central Greece,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Duchy of Savoy,Central Greece,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Papal States,Central Greece,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Knights Hospitaller,Aegean Sea,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Papal States,Aegean Sea,,,
Morean War,1684-04-25 00:00:00+00:00,1699-01-26 00:00:00+00:00,Order of Saint Stephen,Central Greece,,,
Child's War,1686-01-01 00:00:00+00:00,1690-04-01 00:00:00+00:00,East India Company,Indian subcontinent,,,
Child's War,1686-01-01 00:00:00+00:00,1690-04-01 00:00:00+00:00,Mughal Empire,Indian subcontinent,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Dawachi,Mongolian Steppe,,,
Second Hundred Years' War,1688-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,Kingdom of England,Europe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Zhaohui,Altishahr,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Bandi,Mongolian Steppe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Qianlong Emperor,Mongolian Steppe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Dawachi,Altishahr,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Zhaohui,Mongolian Steppe,,,
Second Hundred Years' War,1688-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,Kingdom of Great Britain,Europe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Amursana,Altishahr,,,
Second Hundred Years' War,1688-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,French First Republic,Europe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Uyghurs,Mongolian Steppe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Oirats,Mongolian Steppe,,,
Second Hundred Years' War,1688-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,First French Empire,Europe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Dzungar people,Mongolian Steppe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Amursana,Mongolian Steppe,,,
Second Hundred Years' War,1688-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,Kingdom of France,Europe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Oirats,Altishahr,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Bandi,Altishahr,,,
Second Hundred Years' War,1688-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,United Kingdom of Great Britain and Ireland,Europe,,,
Second Hundred Years' War,1688-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,British Empire,Europe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Kangxi Emperor,Dzungar Khanate,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Qianlong Emperor,Dzungar Khanate,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Uyghurs,Dzungar Khanate,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Dzungar people,Dzungar Khanate,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Amursana,Dzungar Khanate,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Kyrgyz people,Dzungar Khanate,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Oirats,Dzungar Khanate,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Dawachi,Dzungar Khanate,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Zhaohui,Dzungar Khanate,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Kangxi Emperor,Mongolian Steppe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Bandi,Dzungar Khanate,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Kangxi Emperor,Altishahr,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Qianlong Emperor,Altishahr,,,
French and Indian Wars,1688-01-01 00:00:00+00:00,1763-01-01 00:00:00+00:00,nan,,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Uyghurs,Altishahr,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Kyrgyz people,Altishahr,,,
Second Hundred Years' War,1688-01-01 00:00:00+00:00,1815-01-01 00:00:00+00:00,France,Europe,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Dzungar people,Altishahr,,,
Dzungar–Qing War,1688-01-01 00:00:00+00:00,1758-01-01 00:00:00+00:00,Kyrgyz people,Mongolian Steppe,,,
King William's War,1688-04-01 00:00:00+00:00,1697-09-20 00:00:00+00:00,Mahican,North America,,,Treaty of Ryswick
King William's War,1688-04-01 00:00:00+00:00,1697-09-20 00:00:00+00:00,Kahnawake,North America,,,Treaty of Ryswick
King William's War,1688-04-01 00:00:00+00:00,1697-09-20 00:00:00+00:00,Kingdom of France,North America,,,Treaty of Ryswick
King William's War,1688-04-01 00:00:00+00:00,1697-09-20 00:00:00+00:00,New France,North America,,,Treaty of Ryswick
King William's War,1688-04-01 00:00:00+00:00,1697-09-20 00:00:00+00:00,Kingdom of England,North America,,,Treaty of Ryswick
King William's War,1688-04-01 00:00:00+00:00,1697-09-20 00:00:00+00:00,Algonquin,North America,,,Treaty of Ryswick
King William's War,1688-04-01 00:00:00+00:00,1697-09-20 00:00:00+00:00,Iroquois,North America,,,Treaty of Ryswick
King William's War,1688-04-01 00:00:00+00:00,1697-09-20 00:00:00+00:00,Wabanaki Confederacy,North America,,,Treaty of Ryswick
King William's War,1688-04-01 00:00:00+00:00,1697-09-20 00:00:00+00:00,New England,North America,,,Treaty of Ryswick
King William's War,1688-04-01 00:00:00+00:00,1697-09-20 00:00:00+00:00,Province of New York,North America,,,Treaty of Ryswick
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Kingdom of France,North America,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Kingdom of Scotland,Asia,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Grand Alliance,North America,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Kingdom of France,Asia,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Kingdom of France,Kingdom of Ireland,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Grand Alliance,Europe,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Grand Alliance,South America,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Grand Alliance,Asia,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Kingdom of Scotland,North America,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Kingdom of France,South America,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Kingdom of Scotland,South America,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Kingdom of Scotland,Kingdom of Ireland,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Grand Alliance,Kingdom of Ireland,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Kingdom of Scotland,Europe,,,
Nine Years' War,1688-09-01 00:00:00+00:00,1697-09-01 00:00:00+00:00,Kingdom of France,Europe,,,
Williamite War in Ireland,1689-03-12 00:00:00+00:00,1691-10-03 00:00:00+00:00,Williamite,Kingdom of Ireland,,,
Williamite War in Ireland,1689-03-12 00:00:00+00:00,1691-10-03 00:00:00+00:00,Kingdom of Scotland,Kingdom of Ireland,,,
Williamite War in Ireland,1689-03-12 00:00:00+00:00,1691-10-03 00:00:00+00:00,Kingdom of England,Kingdom of Ireland,,,
Williamite War in Ireland,1689-03-12 00:00:00+00:00,1691-10-03 00:00:00+00:00,Jacobitism,Kingdom of Ireland,,,
Williamite War in Ireland,1689-03-12 00:00:00+00:00,1691-10-03 00:00:00+00:00,Dutch Republic,Kingdom of Ireland,,,
Williamite War in Ireland,1689-03-12 00:00:00+00:00,1691-10-03 00:00:00+00:00,Kingdom of France,Kingdom of Ireland,,,
Williamite War in Ireland,1689-03-12 00:00:00+00:00,1691-10-03 00:00:00+00:00,Jacobites,Kingdom of Ireland,,,
First Oirat–Manchu War,1690-01-01 00:00:00+00:00,1697-01-01 00:00:00+00:00,Qing dynasty,,,,
First Oirat–Manchu War,1690-01-01 00:00:00+00:00,1697-01-01 00:00:00+00:00,Dzungar Khanate,,,,
Mughal–Portuguese War,1692-01-01 00:00:00+00:00,1693-01-01 00:00:00+00:00,Portuguese Empire,Vasai,,,
Mughal–Portuguese War,1692-01-01 00:00:00+00:00,1693-01-01 00:00:00+00:00,Mughal Empire,Vasai,,,
Tunisian-Algerian War of 1694,1694-06-24 00:00:00+00:00,1694-11-01 00:00:00+00:00,Regency of Algiers,,,,
Tunisian-Algerian War of 1694,1694-06-24 00:00:00+00:00,1694-11-01 00:00:00+00:00,Vilayet of Tunis,,,,
Chamorro Wars,,1695-01-01 00:00:00+00:00,Spanish Empire,Northern Mariana Islands,,,
Chamorro Wars,,1695-01-01 00:00:00+00:00,Chamorro people,Northern Mariana Islands,,,
Dano-Mughal War,,1698-01-01 00:00:00+00:00,Denmark–Norway,Bay of Bengal,,,
Dano-Mughal War,,1698-01-01 00:00:00+00:00,Denmark–Norway,Indian subcontinent,,,
Dano-Mughal War,,1698-01-01 00:00:00+00:00,Mughal Empire,Bay of Bengal,,,
Dano-Mughal War,,1698-01-01 00:00:00+00:00,Mughal Empire,Indian subcontinent,,,
Spanish–Chamorro Wars,,1699-01-01 00:00:00+00:00,Chamorro people,Mariana Islands,,,
Maghrebi War,1699-01-01 00:00:00+00:00,1702-01-01 00:00:00+00:00,nan,,,,
Spanish–Chamorro Wars,,1699-01-01 00:00:00+00:00,Spanish Empire,Mariana Islands,,,
Colonization of Siberia,,1700-01-01 00:00:00+00:00,nan,Siberia,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Denmark–Norway,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Electorate of Saxony,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Swedish Empire,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Kingdom of Prussia,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Kingdom of Great Britain,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Crimean Khanate,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Wallachia,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Province of Hanover,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Ottoman Empire,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Duke of Holstein-Gottorp,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Principality of Moldavia,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Kalmyk Khanate,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Dutch Republic,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Cossack Hetmanate,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Tsardom of Russia,Eastern Europe,,,
Great Northern War,1700-02-22 00:00:00+00:00,1721-09-10 00:00:00+00:00,Polish–Lithuanian Commonwealth,Eastern Europe,,,
Tunisian-Algerian War of 1705,1705-07-07 00:00:00+00:00,1705-10-06 00:00:00+00:00,Regency of Algiers,,,,
Tunisian-Algerian War of 1705,1705-07-07 00:00:00+00:00,1705-10-06 00:00:00+00:00,Vilayet of Tunis,,,,
Battle of Jajau,1707-06-20 00:00:00+00:00,,Bahadur Shah I,Agra,,,
Battle of Jajau,1707-06-20 00:00:00+00:00,,Azim-ush-Shan,Agra,,,
Comacchio War,1708-01-01 00:00:00+00:00,1709-01-01 00:00:00+00:00,nan,,,,
Russian–Circassian War,1711-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,Russian Empire,Circassia,,,
Russian–Circassian War,1711-01-01 00:00:00+00:00,1864-05-21 00:00:00+00:00,Circassia,Circassia,,,
Tuscarora War,1711-09-10 00:00:00+00:00,1715-02-11 00:00:00+00:00,Province of South Carolina,Eastern North Carolina,,,status quo ante bellum
Tuscarora War,1711-09-10 00:00:00+00:00,1715-02-11 00:00:00+00:00,Kingdom of Great Britain,Eastern North Carolina,,,status quo ante bellum
Tuscarora War,1711-09-10 00:00:00+00:00,1715-02-11 00:00:00+00:00,Province of North Carolina,Eastern North Carolina,,,status quo ante bellum
Tuscarora War,1711-09-10 00:00:00+00:00,1715-02-11 00:00:00+00:00,Tuscarora Nation,Eastern North Carolina,,,status quo ante bellum
Seventh Ottoman–Venetian War,1714-12-09 00:00:00+00:00,1718-07-21 00:00:00+00:00,Republic of Venice,Corfu,,,
Seventh Ottoman–Venetian War,1714-12-09 00:00:00+00:00,1718-07-21 00:00:00+00:00,Habsburg monarchy,Dalmatia,,,
Seventh Ottoman–Venetian War,1714-12-09 00:00:00+00:00,1718-07-21 00:00:00+00:00,Habsburg monarchy,Corfu,,,
Seventh Ottoman–Venetian War,1714-12-09 00:00:00+00:00,1718-07-21 00:00:00+00:00,Ottoman Empire,Dalmatia,,,
Seventh Ottoman–Venetian War,1714-12-09 00:00:00+00:00,1718-07-21 00:00:00+00:00,Habsburg monarchy,Peloponnese,,,
Seventh Ottoman–Venetian War,1714-12-09 00:00:00+00:00,1718-07-21 00:00:00+00:00,Ottoman Empire,Corfu,,,
Seventh Ottoman–Venetian War,1714-12-09 00:00:00+00:00,1718-07-21 00:00:00+00:00,Ottoman Empire,Peloponnese,,,
Seventh Ottoman–Venetian War,1714-12-09 00:00:00+00:00,1718-07-21 00:00:00+00:00,Republic of Venice,Dalmatia,,,
Seventh Ottoman–Venetian War,1714-12-09 00:00:00+00:00,1718-07-21 00:00:00+00:00,Republic of Venice,Peloponnese,,,
Dutch-Algerian War,1715-01-01 00:00:00+00:00,1726-01-01 00:00:00+00:00,Regency of Algiers,Mediterranean Sea,,,
Dutch-Algerian War,1715-01-01 00:00:00+00:00,1726-01-01 00:00:00+00:00,Dutch Republic,Mediterranean Sea,,,
Yamasee War,1715-01-01 00:00:00+00:00,1717-01-01 00:00:00+00:00,Catawba people,South Carolina,,,
Yamasee War,1715-01-01 00:00:00+00:00,1717-01-01 00:00:00+00:00,Santee tribe,South Carolina,,,
Yamasee War,1715-01-01 00:00:00+00:00,1717-01-01 00:00:00+00:00,Waxhaw tribe,South Carolina,,,
Yamasee War,1715-01-01 00:00:00+00:00,1717-01-01 00:00:00+00:00,Province of Carolina,South Carolina,,,
